No.,English,华语,推薦,漢字,音字正讀,台羅正讀,台羅簡,Taiji
42,mother,妈妈,媽,媽,맣·,mah,mah,mak3
43,father,爸爸,爸,爸,바·,pa,pa,pa1
44,animal,动物,動物,動物,덩-뿓',tōng-bu̍t,tong but,tong33but1
45,fish,鱼,魚,魚,후ˆ,hû,hu,hoo2
46,bird,鸟,鳥,鳥,ᄌᆤˊ,tsiáu,tsiau,ciau4
47,dog,狗,狗,狗,ᄀᅷˊ,káu,kau,kau4
48,louse,虱子,kutu,龜拄,구·두ˊ,ku-tú,kutu,koo3too4
49,snake,蛇,蛇,蛇,좌ˆ,tsuâ,tsua,cua2
50,worm,虫,虫,虫,탕ˆ,thâng,thang,thang2
51,tree,树,樹欉,樹欉,츄-장ˆ,tshiū-tsâng,tshiu tsang,chew33cang2
52,forest,树林,樹林,樹林,츄-나ˆ,tshiū-nâ,tshiu na,chew33na2
53,stick,棒,枝,枝,기·,ki,ki,kee1
54,fruit,水果,果子,果子,괴ˊ지ˊ,kué-tsí,kue tsi,koay1cee4
55,seed,种子,子,子,지ˊ,tsí,tsi,cee4
56,leaf,叶子,葉,葉,훃',hio̍h,hioh,heok1
57,root,根,根,根,긴·,kin,kin,kin1
58,bark (of a tree),树皮,樹皮,樹皮,츄-푀ˆ,tshiū-phuê,tshiu phue,chew33phoay2
59,flower,花,花,花,화·,hua,hua,hua1
60,grass,草,草,草,ᄎᅷˊ,tsháu,tshau,chau4
61,rope,绳子,索,索,솧·,soh,soh,sok3
62,skin,皮肤,皮膚,皮膚,푀ˆ후·,phuê-hu,phue hu,phoay3hoo1
63,meat,肉,肉,肉,빻·,bah,bah,bak3
64,blood,血,血,血,횧·,hueh,hueh,huek3
65,bone,骨头,骨,骨,굳·,kut,kut,kut3
66,fat (noun),脂肪,肉油,肉油,빻·유ˆ,bah-iû,bah iu,bak1yew2
67,egg,蛋,卵,卵,뉘-,nuī,nui,nooi33
68,horn,角,角,角,각·,kak,kak,kark3
69,tail,尾巴,尾,尾,뾔ˊ,bué,bue,boay4
70,feather,羽毛,鳥毛,鳥毛,ᄌᆤˊ머ˆ,tsiáu-môo,tsiau moo,ciau1mor2
71,hair,头发,頭毛,頭毛,ᄐᅷˆ머ˆ,thâu-môo,thau moo,thau3mor2
72,head,头,頭,頭,ᄐᅷˆ,thâu,thau,thau2
73,ear,耳朵,耳仔,耳仔,히-아ˊ,hī-á,hia,hee33ah4
74,eye,眼睛,目睭,目睭,빡'쥬·,ba̍k-tsiu,bak tsiu,bark3cew1
75,nose,鼻子,鼻空,鼻空,피ᇫ·캉·,phīnn-khang,phinn khang,phnee33khang1
